,Date,Transaction Type,Num,Customer,Memo/Description,Qty,Sales Price,Amount,Balance
FireWrap® Grip Kit GLOW - Green ( 927 ),03/05/2022,Sales Receipt,7476,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",2,40.95  ,81.90  ,"17,562.04  "
FireWrap® Grip Kit GLOW - Green ( 927 ),03/14/2022,Sales Receipt,7537,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"17,602.99  "
FireWrap® Grip Kit GLOW - Green ( 927 ),03/19/2022,Sales Receipt,7573,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"17,643.94  "
FireWrap® Grip Kit GLOW - Green ( 927 ),03/22/2022,Sales Receipt,7600,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"17,684.89  "
FireWrap® Grip Kit GLOW - Green ( 927 ),03/22/2022,Sales Receipt,7599,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"17,725.84  "
FireWrap® Grip Kit GLOW - Green ( 927 ),03/30/2022,Sales Receipt,7660,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"17,766.79  "
FireWrap® Grip Kit GLOW - Green ( 927 ),04/02/2022,Sales Receipt,7675,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"17,807.74  "
FireWrap® Grip Kit GLOW - Green ( 927 ),04/05/2022,Sales Receipt,7696,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"17,848.69  "
FireWrap® Grip Kit GLOW - Green ( 927 ),04/05/2022,Sales Receipt,7695,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",2,40.95  ,81.90  ,"17,930.59  "
FireWrap® Grip Kit GLOW - Green ( 927 ),04/06/2022,Sales Receipt,7699,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"17,971.54  "
FireWrap® Grip Kit GLOW - Green ( 927 ),04/15/2022,Sales Receipt,7759,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"18,012.49  "
FireWrap® Grip Kit GLOW - Green ( 927 ),04/22/2022,Sales Receipt,7793,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",4,40.95  ,163.80  ,"18,176.29  "
FireWrap® Grip Kit GLOW - Green ( 927 ),04/29/2022,Sales Receipt,7840,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,35.99  ,35.99  ,"18,212.28  "
FireWrap® Grip Kit GLOW - Green ( 927 ),04/30/2022,Sales Receipt,7853,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,35.99  ,35.99  ,"18,248.27  "
FireWrap® Grip Kit GLOW - Green ( 927 ),05/04/2022,Sales Receipt,7898,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",2,35.99  ,71.98  ,"18,320.25  "
FireWrap® Grip Kit GLOW - Green ( 927 ),05/05/2022,Sales Receipt,7908,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",6,35.99  ,215.94  ,"18,536.19  "
FireWrap® Grip Kit GLOW - Green ( 927 ),05/11/2022,Sales Receipt,7934,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"18,577.14  "
FireWrap® Grip Kit GLOW - Green ( 927 ),05/17/2022,Sales Receipt,7965,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"18,618.09  "
FireWrap® Grip Kit GLOW - Green ( 927 ),05/25/2022,Sales Receipt,8000,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"18,659.04  "
FireWrap® Grip Kit GLOW - Green ( 927 ),05/26/2022,Sales Receipt,8004,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",3,40.95  ,122.85  ,"18,781.89  "
FireWrap® Grip Kit GLOW - Green ( 927 ),05/27/2022,Sales Receipt,8010,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"18,822.84  "
FireWrap® Grip Kit GLOW - Green ( 927 ),05/30/2022,Sales Receipt,8023,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"18,863.79  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/03/2022,Sales Receipt,8046,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$12.95)",1,40.95  ,40.95  ,"18,904.74  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/07/2022,Sales Receipt,8060,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"18,945.69  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/09/2022,Sales Receipt,8084,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"18,986.64  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/10/2022,Sales Receipt,8093,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"19,027.59  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/11/2022,Sales Receipt,8105,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",20,40.95  ,819.00  ,"19,846.59  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/13/2022,Sales Receipt,8122,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"19,887.54  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/14/2022,Sales Receipt,8123,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"19,928.49  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/15/2022,Sales Receipt,8128,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",2,40.95  ,81.90  ,"20,010.39  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/18/2022,Sales Receipt,8151,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,051.34  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/18/2022,Sales Receipt,8149,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",2,40.95  ,81.90  ,"20,133.24  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/23/2022,Sales Receipt,8173,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",2,40.95  ,81.90  ,"20,215.14  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/23/2022,Sales Receipt,8171,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,256.09  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/25/2022,Sales Receipt,8176,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,297.04  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/27/2022,Sales Receipt,8188,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,337.99  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/28/2022,Sales Receipt,8192,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,378.94  "
FireWrap® Grip Kit GLOW - Green ( 927 ),06/28/2022,Sales Receipt,8195,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,419.89  "
FireWrap® Grip Kit GLOW - Green ( 927 ),07/03/2022,Sales Receipt,8239,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,460.84  "
FireWrap® Grip Kit GLOW - Green ( 927 ),07/09/2022,Sales Receipt,8275,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,501.79  "
FireWrap® Grip Kit GLOW - Green ( 927 ),07/15/2022,Sales Receipt,8307,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,542.74  "
FireWrap® Grip Kit GLOW - Green ( 927 ),07/15/2022,Sales Receipt,8306,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",2,40.95  ,81.90  ,"20,624.64  "
FireWrap® Grip Kit GLOW - Green ( 927 ),07/24/2022,Sales Receipt,8354,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",2,40.95  ,81.90  ,"20,706.54  "
FireWrap® Grip Kit GLOW - Green ( 927 ),07/31/2022,Sales Receipt,8406,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,747.49  "
FireWrap® Grip Kit GLOW - Green ( 927 ),08/14/2022,Sales Receipt,8482,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",2,40.95  ,81.90  ,"20,829.39  "
FireWrap® Grip Kit GLOW - Green ( 927 ),08/15/2022,Sales Receipt,8488,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",2,40.95  ,81.90  ,"20,911.29  "
FireWrap® Grip Kit GLOW - Green ( 927 ),08/17/2022,Sales Receipt,8502,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,952.24  "
FireWrap® Grip Kit GLOW - Green ( 927 ),08/27/2022,Sales Receipt,8569,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"20,993.19  "
FireWrap® Grip Kit GLOW - Green ( 927 ),08/28/2022,Sales Receipt,8579,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,034.14  "
FireWrap® Grip Kit GLOW - Green ( 927 ),08/28/2022,Sales Receipt,8584,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,075.09  "
FireWrap® Grip Kit GLOW - Green ( 927 ),08/30/2022,Sales Receipt,8593,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,116.04  "
FireWrap® Grip Kit GLOW - Green ( 927 ),09/01/2022,Sales Receipt,8606,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,156.99  "
FireWrap® Grip Kit GLOW - Green ( 927 ),09/02/2022,Sales Receipt,8611,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,197.94  "
FireWrap® Grip Kit GLOW - Green ( 927 ),09/11/2022,Sales Receipt,8666,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,238.89  "
FireWrap® Grip Kit GLOW - Green ( 927 ),09/15/2022,Sales Receipt,8691,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",2,40.95  ,81.90  ,"21,320.79  "
FireWrap® Grip Kit GLOW - Green ( 927 ),09/22/2022,Sales Receipt,8736,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",2,40.95  ,81.90  ,"21,402.69  "
FireWrap® Grip Kit GLOW - Green ( 927 ),09/26/2022,Sales Receipt,8755,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,443.64  "
FireWrap® Grip Kit GLOW - Green ( 927 ),09/28/2022,Sales Receipt,8778,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,484.59  "
FireWrap® Grip Kit GLOW - Green ( 927 ),09/29/2022,Sales Receipt,8799,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",5,40.95  ,204.75  ,"21,689.34  "
FireWrap® Grip Kit GLOW - Green ( 927 ),10/01/2022,Sales Receipt,8819,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,730.29  "
FireWrap® Grip Kit GLOW - Green ( 927 ),10/11/2022,Sales Receipt,8882,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,771.24  "
FireWrap® Grip Kit GLOW - Green ( 927 ),10/15/2022,Sales Receipt,8916,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,812.19  "
FireWrap® Grip Kit GLOW - Green ( 927 ),10/20/2022,Sales Receipt,8952,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,853.14  "
FireWrap® Grip Kit GLOW - Green ( 927 ),10/23/2022,Sales Receipt,8966,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,894.09  "
FireWrap® Grip Kit GLOW - Green ( 927 ),10/24/2022,Sales Receipt,8973,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,935.04  "
FireWrap® Grip Kit GLOW - Green ( 927 ),10/30/2022,Sales Receipt,9005,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"21,975.99  "
FireWrap® Grip Kit GLOW - Green ( 927 ),10/30/2022,Sales Receipt,9006,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"22,016.94  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/02/2022,Sales Receipt,9015,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"22,057.89  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/09/2022,Sales Receipt,9051,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"22,098.84  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/11/2022,Sales Receipt,9061,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"22,139.79  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/12/2022,Sales Receipt,M-113-2925633-5433800,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"22,181.74  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/13/2022,Sales Receipt,9072,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"22,222.69  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/14/2022,Sales Receipt,M-112-4240856-6866630,,FireWrap® Grip Kit - Glow Green,5,41.95  ,209.75  ,"22,432.44  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/18/2022,Sales Receipt,9111,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"22,473.39  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/18/2022,Sales Receipt,M-111-4355558-3835460,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"22,515.34  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/20/2022,Sales Receipt,9128,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"22,556.29  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/21/2022,Sales Receipt,9134,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"22,597.24  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/24/2022,Sales Receipt,M-113-7438787-3609031,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"22,639.19  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/26/2022,Sales Receipt,9178,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"22,680.14  "
FireWrap® Grip Kit GLOW - Green ( 927 ),11/26/2022,Sales Receipt,M-112-2989072-6714625,,FireWrap® Grip Kit - Glow Green,2,41.95  ,83.90  ,"22,764.04  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/01/2022,Sales Receipt,M-112-7430129-3179410,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"22,805.99  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/02/2022,Sales Receipt,M-113-6213622-6813046,,FireWrap® Grip Kit - Glow Green,2,41.95  ,83.90  ,"22,889.89  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/05/2022,Sales Receipt,M-114-1891985-7804261,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"22,931.84  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/05/2022,Sales Receipt,9255,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",2,40.95  ,81.90  ,"23,013.74  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/09/2022,Sales Receipt,9287,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",4,40.95  ,163.80  ,"23,177.54  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/10/2022,Sales Receipt,9298,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"23,218.49  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/16/2022,Sales Receipt,9344,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"23,259.44  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/17/2022,Sales Receipt,9352,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",4,40.95  ,163.80  ,"23,423.24  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/19/2022,Sales Receipt,9361,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"23,464.19  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/22/2022,Sales Receipt,M-112-9202838-4121006,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"23,506.14  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/23/2022,Sales Receipt,M-112-3605703-2421868,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"23,548.09  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/26/2022,Sales Receipt,M-114-0492714-5970605,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"23,590.04  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/26/2022,Sales Receipt,9399,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"23,630.99  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/28/2022,Sales Receipt,M-112-2055382-0480251,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"23,672.94  "
FireWrap® Grip Kit GLOW - Green ( 927 ),12/28/2022,Sales Receipt,M-112-5167974-3126646,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"23,714.89  "
FireWrap® Grip Kit GLOW - Green ( 927 ),01/01/2023,Sales Receipt,M-112-8237336-9381055,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"23,756.84  "
FireWrap® Grip Kit GLOW - Green ( 927 ),01/03/2023,Sales Receipt,M-111-4906617-9125059,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"23,798.79  "
FireWrap® Grip Kit GLOW - Green ( 927 ),01/05/2023,Sales Receipt,M-111-4177566-3419448,,FireWrap® Grip Kit - Glow Green,1,41.95  ,41.95  ,"23,840.74  "
FireWrap® Grip Kit GLOW - Green ( 927 ),01/08/2023,Sales Receipt,9480,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"23,881.69  "
FireWrap® Grip Kit GLOW - Green ( 927 ),01/09/2023,Sales Receipt,9483,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"23,922.64  "
FireWrap® Grip Kit GLOW - Green ( 927 ),01/10/2023,Sales Receipt,9494,,"FIREWRAP® GRIP KIT
Color: GLOW Green (+$13)",1,40.95  ,40.95  ,"23,963.59  "
Total for FireWrap® Grip Kit GLOW - Green ( 927 ),,,,,,617,,"$	23,963.59  ",
FireWrap® Grip Kit Orange,,,,,,,,,
FireWrap® Grip Kit Orange,03/24/2018,Sales Receipt,#1397,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,24.95  
FireWrap® Grip Kit Orange,03/24/2018,Sales Receipt,#1399,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,49.90  
FireWrap® Grip Kit Orange,03/24/2018,Sales Receipt,#1404,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,74.85  
FireWrap® Grip Kit Orange,04/05/2018,Sales Receipt,#1427,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,99.80  
FireWrap® Grip Kit Orange,04/07/2018,Refund,#1427 (Refund 1),,FireWrap  Grip Kit - Pre-Order,-1,24.95  ,-24.95  ,74.85  
FireWrap® Grip Kit Orange,04/07/2018,Sales Receipt,#1430,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,99.80  
FireWrap® Grip Kit Orange,04/12/2018,Sales Receipt,#1439,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,124.75  
FireWrap® Grip Kit Orange,04/14/2018,Sales Receipt,#1445,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,149.70  
FireWrap® Grip Kit Orange,04/14/2018,Sales Receipt,#1446,,FireWrap  Grip Kit - Pre-Order,2,24.95  ,49.90  ,199.60  
FireWrap® Grip Kit Orange,04/15/2018,Sales Receipt,#1449,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,224.55  
FireWrap® Grip Kit Orange,04/18/2018,Sales Receipt,#1459,,FireWrap  Grip Kit - Pre-Order,2,24.95  ,49.90  ,274.45  
FireWrap® Grip Kit Orange,04/18/2018,Invoice,1104,,,1,0.00  ,0.00  ,274.45  
FireWrap® Grip Kit Orange,04/26/2018,Sales Receipt,#1476,,FireWrap  Grip Kit - Pre-Order,3,24.95  ,74.85  ,349.30  
FireWrap® Grip Kit Orange,04/26/2018,Sales Receipt,#1496,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,374.25  
FireWrap® Grip Kit Orange,04/27/2018,Sales Receipt,#1538,,FireWrap  Grip Kit - Pre-Order,3,24.95  ,74.85  ,449.10  
FireWrap® Grip Kit Orange,04/27/2018,Sales Receipt,#1526,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,474.05  
FireWrap® Grip Kit Orange,04/27/2018,Sales Receipt,#1524,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,499.00  
FireWrap® Grip Kit Orange,04/28/2018,Sales Receipt,#1560,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,523.95  
FireWrap® Grip Kit Orange,04/28/2018,Sales Receipt,#1551,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,548.90  
FireWrap® Grip Kit Orange,04/28/2018,Sales Receipt,#1564,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,573.85  
FireWrap® Grip Kit Orange,04/30/2018,Invoice,1113,,,3,20.00  ,60.00  ,633.85  
FireWrap® Grip Kit Orange,05/05/2018,Sales Receipt,#1597,,FireWrap  Grip Kit,1,34.95  ,34.95  ,668.80  
FireWrap® Grip Kit Orange,05/08/2018,Sales Receipt,#1608,,FireWrap  Grip Kit,2,34.95  ,69.90  ,738.70  
FireWrap® Grip Kit Orange,05/12/2018,Invoice,1115,,,4,26.00  ,104.00  ,842.70  
FireWrap® Grip Kit Orange,05/16/2018,Sales Receipt,#1622,,FireWrap  Grip Kit,1,34.95  ,34.95  ,877.65  
FireWrap® Grip Kit Orange,05/16/2018,Sales Receipt,#1621,,FireWrap  Grip Kit,2,34.95  ,69.90  ,947.55  
FireWrap® Grip Kit Orange,05/31/2018,Sales Receipt,#1655,,FireWrap  Grip Kit,1,34.95  ,34.95  ,982.50  
FireWrap® Grip Kit Orange,06/01/2018,Sales Receipt,#1658,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"1,052.40  "
FireWrap® Grip Kit Orange,06/18/2018,Sales Receipt,#1682,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,087.35  "
FireWrap® Grip Kit Orange,06/21/2018,Sales Receipt,#1686,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,122.30  "
FireWrap® Grip Kit Orange,06/22/2018,Invoice,1133,,,8,26.00  ,208.00  ,"1,330.30  "
FireWrap® Grip Kit Orange,07/08/2018,Sales Receipt,#1710,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,365.25  "
FireWrap® Grip Kit Orange,07/19/2018,Sales Receipt,#1727,,FireWrap  Grip Kit,4,34.95  ,139.80  ,"1,505.05  "
FireWrap® Grip Kit Orange,07/20/2018,Sales Receipt,#1732,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"1,574.95  "
FireWrap® Grip Kit Orange,07/26/2018,Sales Receipt,#1739,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,609.90  "
FireWrap® Grip Kit Orange,07/31/2018,Invoice,1149,,,1,34.95  ,34.95  ,"1,644.85  "
FireWrap® Grip Kit Orange,08/05/2018,Sales Receipt,#1756,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,679.80  "
FireWrap® Grip Kit Orange,08/06/2018,Sales Receipt,#1759,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"1,749.70  "
FireWrap® Grip Kit Orange,08/15/2018,Sales Receipt,#1774,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,784.65  "
FireWrap® Grip Kit Orange,08/24/2018,Invoice,1166,,,1,30.00  ,30.00  ,"1,814.65  "
FireWrap® Grip Kit Orange,08/25/2018,Sales Receipt,#1792,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,849.60  "
FireWrap® Grip Kit Orange,09/06/2018,Sales Receipt,#1816,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,884.55  "
FireWrap® Grip Kit Orange,09/10/2018,Sales Receipt,#1822,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,919.50  "
FireWrap® Grip Kit Orange,09/12/2018,Sales Receipt,#1826,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,954.45  "
FireWrap® Grip Kit Orange,09/18/2018,Sales Receipt,#1846,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,989.40  "
FireWrap® Grip Kit Orange,09/19/2018,Sales Receipt,#1852,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,024.35  "
FireWrap® Grip Kit Orange,09/21/2018,Sales Receipt,#1858,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,059.30  "
FireWrap® Grip Kit Orange,09/21/2018,Sales Receipt,#1860,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,094.25  "
FireWrap® Grip Kit Orange,09/21/2018,Sales Receipt,#1859,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,129.20  "
FireWrap® Grip Kit Orange,09/26/2018,Sales Receipt,#1871,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,164.15  "
FireWrap® Grip Kit Orange,10/04/2018,Sales Receipt,#1890,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,199.10  "
FireWrap® Grip Kit Orange,10/09/2018,Sales Receipt,#1895,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,234.05  "
FireWrap® Grip Kit Orange,10/16/2018,Sales Receipt,#1904,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,269.00  "
